0.769892
gene,variance
21ur-12607,0.810000
C01G6.5,36.560000
C34C12.6,3.240000
F27E5.7,4.360000
F27E5.8,2.250000
F45H10.3,0.090000
F55G1.6,2.690000
M01E5.2,2.250000
M03A1.t2,2.250000
M04F3.5,24.640000
R07D5.2,0.810000
Y43F8B.3,7.210000
Y69H2.10,0.360000
ZK1067.2,20.890000
aha-1,12.960000
alg-1,0.640000
bath-47,7.290000
bcat-1,0.640000
brc-1,62.160000
cdh-1,14.040000
cutl-28,5.760000
cyd-1,79.650000
daf-2,43.160000
dnj-25,4.410000
fem-1,0.810000
gcy-5,20.010000
imph-1,25.610000
irld-65,5.690000
irld-66,10.850000
jmjd-1.2,1.090000
lact-2,3.440000
mltn-10,8.010000
mrpl-10,3.600000
mut-16,23.040000
nos-3,2.010000
oac-19,0.090000
polq-1,2.610000
ppat-1,17.200000
ptb-1,43.560000
rsp-2,52.760000
srh-173,21.690000
sulp-1,4.690000
sur-6,7.290000
sys-1,71.810000
tag-325,12.090000
tdp-1,0.640000
tir-1,26.010000
tra-2,4.090000
tsr-1,8.040000
ttn-1,1.440000
ttr-13,0.560000
ugt-22,25.000000
ugt-33,3.290000
ule-3,1.440000
unc-13,3.210000
unc-52,22.360000
unc-79,31.360000
wdr-48,49.960000
